epoch,train_loss,val_loss,lr,time
1,0.09010094096636727,0.13662199209439402,0.001,16.376577854156494
2,0.07975457292751609,0.08209557512203731,0.001,19.94094181060791
3,0.0763818996537604,0.08690744395045256,0.001,18.699405193328857
4,0.07401588648824155,0.09512318657133008,0.001,23.91518783569336
5,0.0735290633695305,0.08921279120047645,0.001,19.829134941101074
6,0.07403847146029183,0.0971957373328137,0.0005,18.11801767349243
7,0.07118373931671945,0.09593236835363105,0.0005,16.109079360961914
8,0.07022642105317879,0.08362868227498073,0.0005,15.464789390563965
9,0.06847127360198106,0.07412695713021245,0.0005,14.561212062835693
10,0.06768280404559876,0.07513986472091477,0.0005,14.521382093429565
11,0.06608650798695212,0.07964823588483805,0.0005,14.51787519454956
12,0.0655398742385706,0.08032968077392176,0.0005,14.54871129989624
13,0.06565672272307997,0.08668754877312097,0.00025,15.320275783538818
14,0.06456460891669961,0.068872287459819,0.00025,14.614919424057007
15,0.06474585341803049,0.07142994696619923,0.00025,15.10388469696045
16,0.06510222536418046,0.07338191973606588,0.00025,15.798151016235352
17,0.06457142345424918,0.07197781933509574,0.00025,14.62943148612976
18,0.06421516238660774,0.06944556262751488,0.000125,14.443151235580444
19,0.06297819869649075,0.06505492638695577,0.000125,14.618082046508789
20,0.06222171691993954,0.06501223595697743,0.000125,14.77683424949646
21,0.061831785919711654,0.06486450900396595,0.000125,15.116520404815674
22,0.06179562577876019,0.06548801973289627,0.000125,14.81572437286377
23,0.06128876294682242,0.0653886712243326,0.000125,14.305728435516357
24,0.06063213379915409,0.06613384620344678,0.000125,14.46834945678711
25,0.06053270498872636,0.0659680291567766,6.25e-05,14.803512573242188
26,0.060323292263682306,0.06551668207106379,6.25e-05,14.753093242645264
27,0.059710007956486504,0.06565988008097436,6.25e-05,14.726984739303589
28,0.05936580024614408,0.06580016284187029,6.25e-05,16.830928564071655
29,0.059236566386895645,0.0658547238112313,3.125e-05,14.887844800949097
30,0.059412594768408655,0.06638107486262106,3.125e-05,14.58357834815979
31,0.05888230523919905,0.06619012752503038,3.125e-05,14.424740314483643
