epoch,train_loss_quantile,train_loss_physical,val_loss_quantile,lr,time
1,0.09172805791048319,0.01613358761435638,0.10043275662667497,0.001,17.69013285636902
2,0.08024514968287003,0.013065143407196455,0.08576803886596292,0.001,20.450806856155396
3,0.07643598157670073,0.011692102248501111,0.08468010487273776,0.001,18.043469429016113
4,0.07442663121008311,0.011456403871767808,0.07827949424183772,0.001,17.379794120788574
5,0.07383197784534704,0.011055886843867557,0.08478984638862481,0.001,17.819374322891235
6,0.07292656390929252,0.010782293750865658,0.09610022212873136,0.001,17.21001410484314
7,0.07191816913607724,0.01043816157831558,0.0883544097486299,0.001,19.081610202789307
8,0.07200938388856006,0.010234547396064695,0.0923991455034697,0.0005,17.3683865070343
9,0.07012842965407312,0.01000644104370091,0.09822952021690647,0.0005,17.24668550491333
10,0.06936790610848204,0.009753733660246955,0.0967535904250946,0.0005,16.95941925048828
11,0.06903555165670161,0.009764801438030534,0.08557178323025788,0.0005,17.30093264579773
12,0.06836418591833139,0.009808842959275746,0.08349371517540623,0.00025,17.720861434936523
13,0.06764380136785242,0.009488821697351041,0.07199380620905549,0.00025,17.563217163085938
14,0.06584329007217883,0.009191239448968767,0.07006246634474478,0.00025,17.441372394561768
15,0.06553342464087518,0.00890155972337981,0.0694545717138889,0.00025,17.187350273132324
16,0.06553837137024347,0.009114762697848836,0.0700030290396011,0.00025,17.599735498428345
17,0.06474135784949835,0.008830215122870954,0.06966781552780012,0.00025,20.189552068710327
18,0.06461901395149404,0.008781873393398018,0.06872667159352984,0.00025,20.245273113250732
19,0.06406265172943747,0.008860704844658136,0.0724477498096244,0.00025,16.700680255889893
20,0.06365860649881494,0.008729547343403636,0.0692466270147919,0.00025,16.132434606552124
21,0.0638653055381957,0.008736231442907796,0.07395050894018539,0.00025,15.68869948387146
22,0.06367129289578126,0.008780492353017515,0.0794032568788877,0.000125,15.858131647109985
23,0.06360611487144738,0.00868549383453362,0.06877409588140465,0.000125,16.52301335334778
24,0.062244375929733406,0.008389404125800507,0.06833329829130635,0.000125,15.483301639556885
25,0.061940958530243756,0.008373405351745137,0.06753303725505035,0.000125,15.657032012939453
26,0.06159947959200558,0.008384149415454614,0.06834698525863633,0.000125,15.722953081130981
27,0.0612157774235326,0.008360466494935995,0.06839437654654391,0.000125,15.577945470809937
28,0.06076260250594004,0.00837427224492437,0.06823783535697531,0.000125,16.602065324783325
29,0.0605182808086351,0.008332025451517204,0.06828940791502582,6.25e-05,15.886218309402466
30,0.060372023561479575,0.008287383290673331,0.06886153557302928,6.25e-05,15.612810134887695
